energy,recable_reso,recable_reso_error,CLUE_reso,CLUE_reso_error,recable_resp,recable_resp_error,CLUE_resp,CLUE_resp_error
10,0.080709,0.003301,0.084465,0.003406,0.940157,0.003761,0.922473,0.003973
20,0.057969,0.002637,0.058669,0.002543,0.971349,0.002800,0.957817,0.002787
50,0.037053,0.001405,0.037176,0.001521,0.996239,0.001720,0.987263,0.001750
100,0.027890,0.000994,0.028588,0.001030,1.004998,0.001329,0.998102,0.001348
200,0.022182,0.000782,0.021851,0.000764,1.010819,0.001097,1.006303,0.001077
300,0.018740,0.000658,0.017691,0.000635,1.012636,0.000928,1.009983,0.000898
