energy,recable_reso,recable_reso_error,CLUE_reso,CLUE_reso_error,recable_resp,recable_resp_error,CLUE_resp,CLUE_resp_error
10,0.181880,0.012559,0.198577,0.013117,0.839001,0.009518,0.821284,0.009374
20,0.137227,0.008773,0.146759,0.009473,0.849447,0.006297,0.832059,0.006809
50,0.105671,0.005897,0.119129,0.006306,0.897159,0.005285,0.880009,0.005444
100,0.083443,0.003466,0.087853,0.003718,0.920608,0.004019,0.913080,0.004098
200,0.071091,0.003106,0.070597,0.002907,0.938711,0.003284,0.931702,0.003203
300,0.054965,0.002118,0.055156,0.002026,0.941456,0.002530,0.935539,0.002567
