energy,recable_reso,recable_reso_error,CLUE_reso,CLUE_reso_error,recable_resp,recable_resp_error,CLUE_resp,CLUE_resp_error
10,0.07108401,0.003004876,0.07150976,0.002958886,1.018914,0.004093,1.007362,0.003939
20,0.05320736,0.00209932,0.05268901,0.002200508,1.012946,0.003572,1.006438,0.003549
50,0.03544288,0.001353941,0.03479109,0.00121554,1.015002,0.010234,1.009577,0.005990
100,0.02571516,0.0009112553,0.02610444,0.0009390737,1.014852,0.007243,1.011091,0.009317
200,0.02107176,0.0008964117,0.02103993,0.0008943903,1.017496,0.004589,1.014405,0.006700
300,0.01829682,0.0006721254,0.01792965,0.0006651401,1.019326,0.000649,1.016899,0.001894
